aX,aY,aZ,gX,gY,gZ,sample
0.278,0.286,-0.91,3.845,0.366,-1.16,4
0.261,0.287,-0.905,3.357,-0.183,-0.854,4
0.265,0.29,-0.91,2.319,0.793,0.427,4
0.279,0.299,-0.911,1.16,2.014,1.282,4
0.282,0.304,-0.906,0.793,1.465,1.099,4
0.276,0.299,-0.901,1.221,-0.122,0.305,4
0.269,0.286,-0.9,1.648,-1.16,0.061,4
0.261,0.288,-0.887,1.77,-1.892,0.549,4
0.28,0.289,-0.897,1.343,-1.404,1.343,4
0.306,0.292,-0.914,-0.183,0.549,0.854,4
0.315,0.293,-0.908,-1.587,0.244,-0.305,4
0.31,0.289,-0.896,-1.953,-1.282,-1.648,4
0.3,0.282,-0.886,-1.953,-1.953,-2.319,4
0.293,0.283,-0.862,-1.282,-2.197,-1.648,4
0.286,0.283,-0.841,0.977,-2.747,-0.244,4
0.29,0.28,-0.854,4.578,-3.296,1.526,4
0.3,0.274,-0.884,6.165,-2.441,2.502,4
0.451,2.594,-3.579,1049.316,-28.564,-17.944,5
-0.498,0.72,-3.612,644.531,-33.936,-90.393,5
-0.279,0.727,-1.933,100.281,-27.039,-87.952,5
0.145,0.23,-1.121,-77.637,-68.604,-37.903,5
